entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll,totalWeight
248,60.5246875,32.366705078125,10.37513671875,8.9230078125,0.11365817,0.42599532,0.40222028,1.1663263,-0.16649656,3.0366333,2.657294,-1.3712239,60.9161328125,35.34837109375,11.225763671875,15.71201953125,1,-1,1,1,13,13,11,11,-0.09791565,0.049411774,-0.0065612793,0.48682404,2.6929762,1.2860037,0.3993335,0.5393924,0.0,0.05654793,0.31949478,0.18698506,0.022323871,0.001039029,-0.046483763,0.28751275,89.56135515330926,89.56135515330926,18.943839601719223,114.87115423710485,0.26846065008118497
249,47.89665234375,37.86562109375,9.1596220703125,7.28352001953125,-0.09564912,-0.6867467,-0.3062565,1.3599803,-2.8879554,0.18749611,-2.1830323,-0.52280366,48.11603125,47.15134375,9.592544921875,15.123806640625,1,-1,1,-1,13,13,11,13,0.023277283,-0.015777588,-10.260532,-4.593399,2.2256224,2.20086,9.235708,26.575,0.0,0.03651753,0.0,0.0,0.024039019,-0.025864745,-0.016622297,0.0027311428,45.549964102439596,88.87633885050907,19.432130062132437,116.51107011837189,0.10573769534158822
250,33.31969921875,26.63108984375,9.893462890625,8.9507119140625,0.34403318,2.2764468,1.4180436,-0.8245544,-0.73367715,2.472894,1.6337038,-1.5509369,35.31122265625,131.086953125,21.62351953125,12.169810546875,1,-1,1,-1,13,13,13,11,0.08769131,-0.22024536,2.6525984,32.945408,0.96011543,0.13708088,3.6553876,1.2469194,0.0,0.0,0.0,0.27984554,0.04469051,-0.021377502,-0.124977164,0.42692053,19.52854712244118,89.59685903358765,31.942756761004514,131.27285800572508,0.29948898225533643
251,38.015375,33.4712578125,7.748939453125,7.50520947265625,-1.8876472,-0.30877665,2.4319308,2.1586633,-2.3354144,0.8060132,0.41838533,-1.4313551,128.4015390625,35.07976171875,44.43513671875,32.929234375,1,-1,-1,1,13,13,11,11,-0.0076389313,0.03778076,75.9249,75.300476,0.15284887,0.8394795,1.6782851,1.5207777,0.0,0.0,0.0,0.0,-0.0024606928,-0.015026324,-0.004667714,0.2330488,12.35765328704764,94.75164629274089,12.35765328704764,233.7477796276929,0.24726354561587888
252,62.2843125,37.60236328125,33.178140625,24.0401328125,-0.020926021,-0.46648976,-0.6295088,0.029261548,-1.623473,-1.3588821,1.8126724,-0.110668086,62.2980390625,41.768609375,39.97219921875,24.050658203125,1,1,-1,-1,13,13,13,13,-139.05904,-0.04191971,0.07886505,25.40738,34.506947,1.279358,0.16940366,147.05618,0.0,0.0,0.0,0.0,-0.020248365,-0.020416282,-0.03801164,-0.032926183,38.23074502914326,94.21911795150903,38.23074502914326,146.036900473506,0.1507408540508022
253,47.54353125,40.5818203125,15.552046875,7.3901904296875,0.058532685,0.18985838,-1.5916771,-1.8382937,-1.6148005,1.5064056,1.8298084,1.7944015,47.6251171875,41.31556640625,39.7787421875,23.814490234375,1,-1,-1,1,13,13,11,11,0.0013656616,-0.05278778,115.40599,116.252075,2.6951623,2.0486083,0.408391,1.3896,0.026864635,0.0,0.26633304,0.0,-0.0013318001,-0.023302909,-0.027236406,0.20678723,2.6776721341048586,88.03510400208977,2.6776721341048586,143.64918805560006,0.1164765440585197
254,61.5422421875,34.74468359375,19.12613671875,10.147318359375,-1.5831559,-2.0716648,-0.6506219,0.39602697,2.6556637,-1.0841213,-2.18393,0.9818825,156.182796875,140.09065625,23.319099609375,10.954021484375,-1,1,-1,1,13,13,11,13,0.0059866905,0.093639374,66.845795,66.60384,0.85289586,0.3630447,3.7221043,0.95918405,0.0,0.037889842,0.0,0.0,0.013236822,-0.0023001737,0.17204075,0.3525832,68.80545572307626,91.27434894990473,31.76440189169694,155.12185037250987,0.15421739387162015
255,60.04054296875,21.23836328125,7.94600927734375,7.6039501953125,-2.4516444,-0.6473734,2.4319913,2.1585379,-1.7811332,0.9490762,0.41833928,-1.4314286,351.04415625,25.846611328125,45.567921875,33.35838671875,1,-1,-1,1,13,13,11,11,0.09759331,0.042448997,56.211918,55.62058,0.819254,0.55648434,1.6899676,1.5659798,0.0,0.049093608,0.0,0.0,0.009326982,-0.023671456,-0.010858085,0.1746943,12.596225690736373,101.4638385628999,12.596225690736373,354.0873122825686,0.1627793150609772
256,41.36038671875,40.60407421875,8.219849609375,7.440685546875,0.5516045,0.27206188,2.4319067,2.15883,0.65001315,-2.641189,0.41846883,-1.4314117,47.81398828125,42.11620703125,47.1343828125,32.651431640625,1,-1,-1,1,13,13,11,11,-0.0048103333,-0.006500244,60.40854,59.752495,2.6616771,2.5265355,1.6960931,1.5443813,0.0,0.0,0.0,0.0,0.006321052,-0.00257489,-0.0146208415,0.20760085,12.67313033397235,82.53615980689592,12.67313033397235,126.14529295410682,0.10832809519273005
257,45.673328125,35.92545703125,8.3110283203125,7.31799365234375,-0.6403862,-0.9109017,1.600433,1.2230642,2.0903785,-1.5822427,0.0674921,0.19746754,55.363078125,51.8894921875,21.429931640625,13.508685546875,-1,1,1,-1,13,13,11,11,0.006942749,-0.024898529,-0.15048218,0.07028961,0.88403535,2.0922472,1.8877716,2.9317582,0.0,0.0,0.43107787,0.33405122,-0.01802559,0.08571307,0.097322874,-0.08902455,3.1289904493786658,78.94468634380756,3.1289904493786658,136.79199744478396,0.16633587033411193
